,data,open,high,low,close,Volume,name
172990,20160112,22000,22400,21950,22200,916043,LG디스플레이
172991,20160113,22300,22550,22050,22300,1098347,LG디스플레이
172992,20160114,22100,23400,21850,23000,2083708,LG디스플레이
172993,20160115,23150,23400,22850,22950,1857073,LG디스플레이
172994,20160118,22450,22700,22150,22300,1746191,LG디스플레이
172995,20160119,22300,22350,21500,22000,1894288,LG디스플레이
172996,20160120,21900,22250,21200,21200,1705909,LG디스플레이
172997,20160121,21250,21700,21150,21500,1454419,LG디스플레이
172998,20160122,21750,22000,21550,21950,1314561,LG디스플레이
172999,20160125,22250,22300,21750,21900,862183,LG디스플레이
173000,20160126,21850,22350,21800,21800,909850,LG디스플레이
173001,20160127,22250,23150,22050,22800,1873250,LG디스플레이
173002,20160128,22600,22600,21550,22200,2143899,LG디스플레이
173003,20160129,21800,22000,21600,21900,1410518,LG디스플레이
173004,20160201,22050,22600,21750,22550,1181607,LG디스플레이
173005,20160202,22350,22450,22150,22250,614255,LG디스플레이
173006,20160203,22000,22000,21400,21450,1436085,LG디스플레이
173007,20160204,21500,21700,21250,21400,1626039,LG디스플레이
173008,20160205,21500,21700,21300,21500,1576410,LG디스플레이
173009,20160211,21000,21300,20900,20950,1223593,LG디스플레이
173010,20160212,20850,21550,20800,21250,1359721,LG디스플레이
173011,20160215,21450,21700,21200,21500,1007800,LG디스플레이
173012,20160216,21650,21800,21500,21650,1103762,LG디스플레이
173013,20160217,21700,22250,21700,21850,2404271,LG디스플레이
173014,20160218,22300,22750,22200,22500,3460620,LG디스플레이
173015,20160219,22750,23350,22700,23000,2554854,LG디스플레이
173016,20160222,22850,23500,22650,23350,1599193,LG디스플레이
173017,20160223,23500,23500,23050,23300,1092566,LG디스플레이
173018,20160224,23250,24700,23150,24050,2821483,LG디스플레이
173019,20160225,24250,24550,23200,23500,1957179,LG디스플레이
173020,20160226,23500,24600,23500,24450,3149678,LG디스플레이
173021,20160229,24700,24950,24200,24500,1568541,LG디스플레이
173022,20160302,25200,25300,24750,24850,1813964,LG디스플레이
173023,20160303,25100,25100,24050,24250,1609696,LG디스플레이
173024,20160304,24200,24250,23550,24000,1326743,LG디스플레이
173025,20160307,23900,24100,23550,23800,1130319,LG디스플레이
173026,20160308,23950,25000,23900,24700,2094812,LG디스플레이
173027,20160309,24800,24850,23900,24200,1622499,LG디스플레이
173028,20160310,24350,24700,24250,24500,1621718,LG디스플레이
173029,20160311,24500,25100,24450,25000,1979146,LG디스플레이
173030,20160314,25500,25600,24700,24700,1860874,LG디스플레이
173031,20160315,24950,25150,24750,25000,1208723,LG디스플레이
173032,20160316,25100,25150,24350,24500,855802,LG디스플레이
173033,20160317,24550,25000,24400,24700,876906,LG디스플레이
173034,20160318,24750,24900,24300,24650,1037450,LG디스플레이
173035,20160321,24950,25450,24900,25050,1656158,LG디스플레이
173036,20160322,25400,26400,25350,26400,3086235,LG디스플레이
173037,20160323,26350,27050,26150,26950,2473974,LG디스플레이
173038,20160324,26650,26700,26100,26500,1733518,LG디스플레이
173039,20160325,26500,26600,25550,25550,1727724,LG디스플레이
173040,20160328,25600,25650,24850,24950,1486774,LG디스플레이
173041,20160329,25250,25850,25150,25700,1456302,LG디스플레이
173042,20160330,25800,26600,25800,26550,1480959,LG디스플레이
173043,20160331,27000,27000,26200,26600,1955271,LG디스플레이
173044,20160401,26350,26600,26100,26350,851899,LG디스플레이
173045,20160404,26450,26800,26150,26400,841191,LG디스플레이
173046,20160405,26100,26650,26100,26350,594744,LG디스플레이
173047,20160406,26050,26250,25800,25900,1027199,LG디스플레이
173048,20160407,25950,27000,25700,27000,1945700,LG디스플레이
173049,20160408,26950,27450,26400,27400,2285835,LG디스플레이
173050,20160411,27350,27750,27150,27350,1074755,LG디스플레이
173051,20160412,27350,27800,27200,27350,652468,LG디스플레이
173052,20160414,27600,27600,26600,26850,1495331,LG디스플레이
173053,20160415,25800,25800,24600,25050,6210164,LG디스플레이
173054,20160418,24950,25250,24600,25050,1578296,LG디스플레이
173055,20160419,25350,25550,25000,25050,1261950,LG디스플레이
173056,20160420,25050,25650,25050,25400,1440146,LG디스플레이
173057,20160421,25800,26300,25750,26300,2112529,LG디스플레이
173058,20160422,26250,26250,25800,25900,767445,LG디스플레이
173059,20160425,26000,26200,25550,25650,671273,LG디스플레이
173060,20160426,25650,26400,25300,25900,1096646,LG디스플레이
173061,20160427,25750,26450,24900,24900,2034400,LG디스플레이
173062,20160428,24800,24850,23550,23850,3311300,LG디스플레이
173063,20160429,23700,24100,23450,23900,1422448,LG디스플레이
173064,20160502,23850,24150,23550,23950,806142,LG디스플레이
173065,20160503,24000,24650,24000,24400,1381462,LG디스플레이
173066,20160504,24250,24550,24100,24250,931990,LG디스플레이
173067,20160509,24200,24550,23550,23900,1137409,LG디스플레이
173068,20160510,23700,24650,23600,24400,1222568,LG디스플레이
173069,20160511,24500,24800,24300,24500,949812,LG디스플레이
173070,20160512,24400,25450,24350,25350,1396488,LG디스플레이
173071,20160513,25100,25150,24350,24550,1410734,LG디스플레이
173072,20160516,24650,24850,24400,24450,481660,LG디스플레이
